customer_id,country,city,signup_ts,is_business,loyalty_tier
87,AE,Ajman,2024-08-22T12:26:03,0,gold
88,SA,Makkah,2025-03-14T06:51:48,0,none
89,SA,Madinah,2025-10-30T02:08:22,0,gold
90,SA,Jeddah,2026-02-20T16:52:51,0,none
91,SA,Dammam,2024-04-16T22:32:18,0,none
92,AE,Sharjah,2026-02-13T02:52:49,1,gold
93,SA,Jeddah,2024-07-01T02:27:27,0,silver
94,SA,Madinah,2024-07-17T00:40:53,0,silver
95,SA,Riyadh,2024-09-14T21:01:50,0,gold
96,AE,Dubai,2024-09-03T03:19:06,0,none
97,SA,Jeddah,2025-02-16T16:53:42,0,none
98,SA,Khobar,2025-02-20T23:03:52,0,none
99,SA,Madinah,2024-08-16T07:09:06,1,gold
100,BH,Manama,2024-05-10T06:50:47,1,silver
101,QA,Doha,2025-07-14T10:31:55,0,silver
102,AE,Ajman,2025-10-19T12:04:25,0,none
103,SA,Makkah,2024-10-26T14:31:26,0,none
104,BH,Manama,2026-02-01T18:24:58,0,silver
105,EG,Cairo,2025-01-24T13:42:31,1,silver
106,AE,Abu Dhabi,2024-09-11T22:22:18,0,none
107,SA,Dammam,2024-03-31T02:08:25,0,none
108,SA,Tabuk,2024-07-03T15:46:32,1,gold
109,SA,Makkah,2025-05-01T17:18:10,0,none
110,QA,Doha,2024-12-18T11:16:26,0,none
111,SA,Madinah,2025-09-07T19:56:17,0,none
112,SA,Tabuk,2025-02-13T12:08:07,0,silver
113,SA,Makkah,2024-03-11T17:54:58,0,none
114,AE,Sharjah,2025-01-23T18:07:55,0,none
115,SA,Madinah,2025-05-26T16:43:43,0,none
116,KW,Kuwait City,2025-08-16T04:31:48,0,none
117,EG,Alexandria,2025-06-26T11:47:05,0,silver
118,AE,Ajman,2025-10-14T12:54:57,0,none
119,SA,Dammam,2024-12-10T00:04:43,0,none
120,AE,Ajman,2026-01-10T14:13:57,0,none
121,AE,Abu Dhabi,2024-05-22T02:22:06,0,gold
122,AE,Ajman,2025-03-07T11:19:49,1,gold
123,SA,Riyadh,2024-09-02T00:51:08,0,none
124,SA,Madinah,2025-12-29T08:54:38,0,none
125,SA,Madinah,2024-12-29T12:00:11,0,silver
126,SA,Tabuk,2026-01-11T01:30:07,0,none
127,SA,Dammam,2025-10-09T20:30:32,0,none
128,SA,Dammam,2026-02-07T18:52:00,0,none
129,SA,Riyadh,2024-03-29T01:39:58,0,none
130,AE,Dubai,2026-01-07T13:17:41,0,none
131,SA,Madinah,2024-06-07T13:15:44,0,none
132,QA,Doha,2024-05-24T04:50:17,0,none
133,AE,Dubai,2025-06-04T09:20:45,1,silver
134,SA,Dammam,2024-12-06T05:11:33,0,none
135,AE,Ajman,2024-01-10T17:27:37,0,silver
136,SA,Dammam,2025-10-13T21:33:17,0,none
137,BH,Manama,2025-03-21T04:47:24,0,none
138,SA,Tabuk,2024-05-08T23:37:06,0,none
139,EG,Alexandria,2024-08-02T09:05:20,0,none
140,SA,Tabuk,2025-12-04T03:26:40,0,gold
141,SA,Dammam,2025-12-22T08:24:46,0,silver
142,SA,Khobar,2024-03-31T09:54:49,0,silver
143,QA,Doha,2024-04-03T07:31:39,0,none
144,AE,Dubai,2024-12-24T10:50:42,1,silver
145,SA,Makkah,2024-07-15T11:03:29,0,none
146,SA,Dammam,2025-07-20T21:47:27,0,none
147,SA,Khobar,2025-12-27T09:27:52,0,gold
148,SA,Madinah,2024-08-30T03:49:07,0,none
149,SA,Madinah,2025-03-07T07:17:45,0,none
150,SA,Makkah,2024-10-19T20:37:11,0,none
151,EG,Alexandria,2025-09-15T16:37:46,0,silver
152,KW,Kuwait City,2025-04-14T01:01:44,0,none
153,SA,Madinah,2024-04-14T12:58:03,0,silver
154,AE,Ajman,2024-10-02T21:03:59,0,none
155,SA,Khobar,2025-10-27T02:33:33,0,none
156,AE,Dubai,2024-06-21T17:06:44,0,none
157,SA,Tabuk,2025-01-04T18:09:50,0,none
158,AE,Sharjah,2025-11-02T22:18:58,0,none
159,AE,Dubai,2025-04-17T10:13:11,0,gold
160,EG,Alexandria,2025-08-26T12:34:52,1,silver
161,SA,Riyadh,2024-04-19T10:15:09,1,gold
162,QA,Doha,2026-02-23T08:47:59,1,gold
163,SA,Madinah,2026-01-14T03:00:41,0,none
164,SA,Makkah,2025-10-12T06:06:03,0,none
165,AE,Ajman,2024-07-10T00:43:55,0,silver
166,SA,Makkah,2025-11-25T03:39:26,0,none
167,EG,Giza,2025-11-16T04:30:35,1,gold
168,EG,Giza,2024-12-16T03:47:34,0,silver
169,SA,Madinah,2024-10-06T09:31:17,0,silver
170,BH,Manama,2024-05-10T02:08:45,0,none
171,SA,Dammam,2024-04-26T07:48:30,0,silver
172,SA,Makkah,2025-04-07T15:51:18,1,silver
173,SA,Riyadh,2024-06-19T07:51:16,1,silver
174,QA,Doha,2025-02-02T16:58:26,0,none
175,SA,Madinah,2025-03-19T05:33:43,0,none
176,SA,Jeddah,2025-04-21T21:59:08,0,silver
177,SA,Jeddah,2026-02-13T05:34:34,0,silver
178,OM,Muscat,2026-01-21T09:23:41,0,none
179,KW,Kuwait City,2025-11-16T03:01:50,0,none
180,EG,Giza,2025-04-05T20:51:40,0,gold
181,KW,Kuwait City,2025-08-09T23:57:24,0,gold
182,KW,Kuwait City,2024-03-18T05:46:14,0,none
183,SA,Madinah,2026-02-04T20:15:45,0,none
184,SA,Madinah,2024-10-07T17:59:43,0,none
185,EG,Cairo,2024-09-25T10:36:47,0,none
186,AE,Abu Dhabi,2026-02-23T18:51:58,0,none
187,SA,Madinah,2025-05-04T09:51:59,1,gold
188,SA,Tabuk,2025-07-07T17:06:00,0,none
189,EG,Alexandria,2024-12-31T01:54:06,0,gold
190,SA,Makkah,2025-06-13T15:59:10,0,none
191,QA,Doha,2024-09-26T19:43:22,0,silver
192,SA,Makkah,2025-08-04T11:26:01,0,none
193,SA,Jeddah,2025-12-24T01:52:14,0,silver
194,EG,Cairo,2024-07-06T11:51:58,0,none
195,SA,Madinah,2024-01-10T15:59:36,0,none
196,SA,Dammam,2025-04-26T17:54:01,0,silver
197,AE,Ajman,2024-03-27T01:53:24,1,gold
198,KW,Kuwait City,2025-11-24T03:55:01,0,none
199,SA,Dammam,2024-10-30T23:26:39,0,silver
200,SA,Madinah,2026-01-22T14:46:25,1,gold
201,EG,Cairo,2024-04-14T06:35:51,0,none
202,OM,Muscat,2024-12-09T08:01:35,0,none
203,SA,Makkah,2025-01-06T03:02:17,1,gold
204,SA,Khobar,2024-10-08T23:42:41,0,none
205,SA,Madinah,2024-12-26T01:34:33,0,gold
206,SA,Makkah,2024-05-13T21:21:18,1,gold
207,SA,Tabuk,2024-06-17T19:27:34,1,gold
208,AE,Abu Dhabi,2025-05-04T20:26:14,0,silver
209,SA,Riyadh,2025-08-06T11:05:18,1,silver
210,SA,Jeddah,2024-05-01T13:27:21,0,gold
211,AE,Sharjah,2025-04-09T12:32:15,0,silver
212,AE,Ajman,2024-09-30T02:09:15,0,none
213,SA,Madinah,2026-02-06T05:43:02,0,gold
214,EG,Giza,2024-12-10T09:32:40,0,none
215,AE,Dubai,2025-10-16T14:30:05,1,platinum
216,EG,Alexandria,2025-11-13T03:51:33,0,gold
217,SA,Makkah,2025-12-16T23:56:25,0,none
218,SA,Tabuk,2024-09-25T23:55:42,0,gold
219,QA,Doha,2025-10-21T00:16:26,1,gold
220,SA,Dammam,2025-12-07T15:37:17,0,silver
221,SA,Khobar,2025-02-06T17:17:23,0,none
222,SA,Jeddah,2025-02-01T08:17:15,0,none
223,AE,Ajman,2024-02-26T20:12:33,0,gold
224,BH,Manama,2025-03-04T18:51:30,0,none
225,SA,Madinah,2024-05-06T06:01:43,0,silver
226,QA,Doha,2024-07-09T13:22:41,0,silver
227,SA,Khobar,2025-08-21T10:19:59,0,none
228,AE,Sharjah,2024-06-21T09:47:51,0,none
229,AE,Sharjah,2025-03-26T17:16:38,0,none
230,SA,Khobar,2025-05-31T10:05:39,0,none
231,SA,Khobar,2024-02-27T04:13:25,0,silver
232,SA,Tabuk,2024-12-04T22:36:03,0,silver
233,BH,Manama,2025-09-10T09:48:15,0,none
234,AE,Ajman,2025-12-18T23:42:14,0,none
235,QA,Doha,2024-08-24T04:49:20,0,silver
236,EG,Giza,2024-02-04T07:42:33,0,gold
237,SA,Madinah,2024-01-09T03:31:19,1,gold
238,EG,Cairo,2024-08-20T01:05:41,0,silver
239,SA,Dammam,2024-07-16T21:31:09,0,none
240,SA,Makkah,2025-12-27T09:00:41,0,silver
241,EG,Giza,2025-11-25T15:03:00,0,none
242,EG,Cairo,2024-07-28T03:35:55,0,none
243,SA,Tabuk,2025-08-18T14:17:30,0,none
244,SA,Makkah,2024-02-12T20:55:55,0,gold
245,AE,Ajman,2024-06-08T10:51:27,0,none
246,KW,Kuwait City,2024-11-08T04:56:27,1,gold
247,AE,Sharjah,2025-11-19T13:52:11,0,none
248,SA,Makkah,2024-03-24T10:14:33,0,none
249,SA,Khobar,2025-12-13T12:16:58,0,none
250,SA,Makkah,2024-05-01T11:29:08,1,gold
251,AE,Ajman,2024-05-23T20:01:02,0,none
252,KW,Kuwait City,2026-02-05T10:12:45,0,silver
253,SA,Madinah,2025-05-11T10:13:21,0,none
254,SA,Riyadh,2025-08-25T20:47:11,0,none
255,SA,Jeddah,2025-10-03T21:32:35,0,silver
256,EG,Alexandria,2024-12-15T12:16:05,0,none
257,EG,Cairo,2025-04-08T11:08:19,0,none
258,SA,Madinah,2025-01-04T14:39:25,0,none
259,SA,Riyadh,2024-09-30T08:05:43,1,gold
260,AE,Sharjah,2025-09-25T19:47:18,0,none
261,SA,Jeddah,2025-10-17T14:04:29,0,none
262,EG,Giza,2025-04-12T05:54:44,0,none
263,SA,Madinah,2025-08-19T00:55:28,0,none
264,SA,Tabuk,2024-02-12T00:59:46,0,silver
265,QA,Doha,2024-07-23T09:29:37,0,gold
266,SA,Tabuk,2024-09-10T14:24:25,0,gold
267,SA,Dammam,2024-01-12T07:48:23,0,silver
268,SA,Dammam,2025-10-29T11:07:36,1,gold
269,SA,Madinah,2025-01-03T04:03:37,0,none
270,SA,Makkah,2024-06-12T03:05:40,0,gold
271,SA,Makkah,2025-01-06T17:48:09,1,gold
272,SA,Madinah,2025-12-31T11:01:56,0,silver
273,SA,Madinah,2026-01-31T10:19:59,1,silver
274,AE,Dubai,2025-06-27T07:13:15,0,none
275,AE,Dubai,2025-06-13T10:27:17,0,none
276,SA,Dammam,2024-08-22T03:17:07,1,silver
277,SA,Tabuk,2024-10-12T20:28:29,1,gold
278,SA,Dammam,2024-10-10T07:18:14,1,silver
279,KW,Kuwait City,2024-05-22T05:26:39,0,silver
280,KW,Kuwait City,2025-09-03T21:44:12,1,gold
281,SA,Tabuk,2025-12-04T06:20:51,0,none
282,SA,Dammam,2024-08-04T08:37:39,1,silver
283,SA,Riyadh,2024-11-10T12:14:12,1,silver
284,SA,Dammam,2024-09-11T14:02:18,0,silver
285,AE,Abu Dhabi,2024-02-04T17:08:31,0,none
286,SA,Jeddah,2025-12-14T05:35:07,0,silver
287,SA,Dammam,2025-01-20T18:29:36,0,none
288,SA,Makkah,2025-03-04T07:00:09,0,none
289,SA,Jeddah,2025-12-25T00:18:17,0,silver
290,SA,Khobar,2024-09-18T11:42:55,0,silver
291,EG,Cairo,2026-01-14T21:04:46,1,gold
292,SA,Khobar,2025-07-24T20:45:29,0,none
293,QA,Doha,2024-04-07T22:11:16,0,silver
294,SA,Riyadh,2024-08-10T08:16:32,0,none
295,EG,Cairo,2026-01-29T22:46:34,0,silver
296,QA,Doha,2025-04-24T17:02:23,0,none
297,OM,Muscat,2025-11-17T15:29:49,0,none
298,EG,Alexandria,2024-06-04T14:08:35,0,silver
299,EG,Cairo,2024-01-14T03:25:32,0,none
300,AE,Sharjah,2024-01-21T07:08:44,0,none
301,EG,Cairo,2024-06-07T15:31:03,0,silver
302,SA,Riyadh,2026-02-06T11:03:01,0,silver
303,SA,Jeddah,2025-09-08T04:39:11,0,silver
304,SA,Tabuk,2026-01-14T00:02:55,0,silver
305,KW,Kuwait City,2025-09-16T14:06:37,0,none
306,SA,Makkah,2024-02-10T07:00:44,0,silver
307,SA,Tabuk,2024-10-24T19:49:10,0,none
308,AE,Dubai,2025-08-22T11:38:55,0,none
309,SA,Makkah,2024-04-29T11:48:21,0,none
310,SA,Dammam,2026-01-21T02:55:36,0,none
311,SA,Tabuk,2024-03-13T03:21:26,0,none
312,SA,Madinah,2024-04-02T12:21:58,0,none
313,SA,Jeddah,2024-11-04T18:00:52,0,none
314,SA,Makkah,2025-08-17T19:19:45,1,platinum
315,SA,Makkah,2024-09-25T15:01:29,0,silver
316,SA,Tabuk,2025-07-26T14:57:07,0,none
317,SA,Khobar,2025-10-28T22:13:11,0,gold
318,AE,Ajman,2024-10-11T01:32:40,0,none
319,SA,Dammam,2025-12-13T20:47:36,0,silver
320,BH,Manama,2025-08-13T05:29:29,1,gold
321,QA,Doha,2025-05-07T15:51:07,0,none
322,SA,Dammam,2024-04-27T00:54:56,0,none
323,SA,Makkah,2024-07-05T17:28:30,0,silver
324,SA,Khobar,2024-11-28T08:17:53,0,none
325,EG,Cairo,2025-10-18T21:42:32,0,gold
326,AE,Abu Dhabi,2025-05-08T16:14:35,0,none
327,EG,Giza,2024-12-17T18:14:06,0,none
328,SA,Makkah,2024-07-27T21:06:25,0,none
329,AE,Abu Dhabi,2025-03-08T00:17:25,0,silver
330,SA,Jeddah,2025-08-23T04:39:10,0,none
331,EG,Cairo,2025-12-15T18:32:55,0,none
332,SA,Madinah,2024-08-10T01:31:08,0,none
333,AE,Ajman,2026-01-14T19:28:51,0,silver
334,KW,Kuwait City,2025-03-15T08:19:32,0,none
335,SA,Makkah,2024-09-26T02:34:15,0,none
336,AE,Abu Dhabi,2025-04-29T18:18:59,0,none
337,SA,Khobar,2025-12-17T12:54:05,0,none
338,AE,Sharjah,2025-08-05T07:40:30,0,gold
339,SA,Tabuk,2025-11-28T11:01:46,0,none
340,QA,Doha,2025-02-11T10:21:33,0,none
341,SA,Madinah,2026-01-30T14:52:29,0,none
342,BH,Manama,2026-02-19T13:05:11,0,silver
343,EG,Giza,2025-05-15T15:34:38,0,gold
344,AE,Sharjah,2024-06-21T19:29:13,0,gold
345,EG,Giza,2024-07-28T09:26:59,1,silver
346,EG,Alexandria,2024-08-01T11:07:42,0,silver
347,BH,Manama,2026-01-01T22:10:09,1,gold
348,SA,Jeddah,2025-11-20T02:57:06,0,none
349,AE,Abu Dhabi,2024-11-15T09:46:04,0,silver
350,SA,Khobar,2024-01-27T22:35:48,0,none
351,AE,Ajman,2025-08-04T18:34:55,1,silver
352,SA,Makkah,2025-04-06T15:10:53,0,none
353,AE,Dubai,2025-07-13T20:03:07,0,none
354,AE,Abu Dhabi,2024-08-30T02:42:50,0,none
355,SA,Riyadh,2025-04-20T06:59:54,0,none
356,SA,Dammam,2024-10-26T23:48:23,1,silver
357,EG,Giza,2025-01-24T19:15:14,0,none
358,EG,Giza,2025-08-16T20:32:30,0,none
359,SA,Riyadh,2025-07-06T06:38:11,0,none
360,AE,Abu Dhabi,2025-02-20T10:30:37,0,none
361,QA,Doha,2025-12-23T12:00:09,0,none
362,SA,Makkah,2026-01-10T07:27:56,0,silver
363,SA,Tabuk,2024-03-29T05:04:09,0,silver
364,SA,Dammam,2025-02-19T15:29:55,0,none
365,AE,Ajman,2024-05-09T11:11:53,0,silver
366,SA,Tabuk,2025-10-19T21:35:10,0,none
367,EG,Giza,2025-04-30T00:52:38,0,silver
368,AE,Abu Dhabi,2025-08-10T09:07:09,0,none
369,SA,Madinah,2025-06-04T15:19:07,0,gold
370,KW,Kuwait City,2025-06-04T12:04:45,1,gold
371,EG,Alexandria,2025-08-13T07:47:47,0,silver
372,SA,Tabuk,2024-10-18T15:18:25,0,silver
373,SA,Riyadh,2024-07-01T12:53:58,0,gold
374,SA,Makkah,2025-07-13T11:16:59,0,silver
375,SA,Riyadh,2024-05-11T05:02:41,0,none
376,SA,Jeddah,2025-12-03T06:01:36,0,silver
377,QA,Doha,2024-04-16T04:10:38,0,silver
378,SA,Riyadh,2024-06-30T02:27:51,0,silver
379,SA,Riyadh,2025-07-12T08:17:38,1,silver
380,AE,Ajman,2025-08-18T23:44:18,0,none
381,AE,Dubai,2025-12-15T12:12:23,1,silver
382,QA,Doha,2024-06-24T16:51:12,0,silver
383,EG,Giza,2024-06-30T14:01:22,0,none
384,SA,Riyadh,2025-10-05T06:37:51,0,none
385,SA,Madinah,2025-11-08T13:56:36,1,silver
386,OM,Muscat,2024-12-10T02:36:57,0,none
387,AE,Ajman,2026-02-19T00:27:49,0,none
388,BH,Manama,2025-06-10T23:33:55,0,silver
389,SA,Khobar,2024-02-22T13:49:40,1,silver
390,KW,Kuwait City,2024-06-14T17:16:01,0,none
391,AE,Dubai,2024-12-01T15:25:04,1,platinum
392,SA,Makkah,2025-04-28T23:35:48,0,none
393,AE,Ajman,2024-10-10T01:10:48,0,none
394,AE,Sharjah,2025-06-30T05:28:22,0,none
395,SA,Dammam,2025-03-17T01:19:45,1,gold
396,SA,Madinah,2025-06-27T04:41:32,0,silver
397,EG,Giza,2025-09-04T13:09:19,0,gold
398,SA,Riyadh,2025-06-27T05:46:38,0,silver
399,SA,Madinah,2024-06-11T02:44:21,1,gold
400,SA,Dammam,2026-01-09T11:56:58,0,silver
401,SA,Jeddah,2025-09-02T00:29:57,0,silver
402,QA,Doha,2024-08-11T08:57:33,0,none
403,EG,Alexandria,2024-02-23T07:52:50,1,silver
404,SA,Jeddah,2025-11-18T16:46:57,0,none
405,OM,Muscat,2026-02-19T16:27:26,0,none
406,KW,Kuwait City,2024-09-26T00:12:51,0,none
407,SA,Makkah,2025-01-05T01:29:02,0,none
408,EG,Cairo,2024-09-05T09:16:23,0,none
409,SA,Dammam,2026-01-29T23:06:14,0,none
410,OM,Muscat,2025-04-26T09:34:48,0,none
411,AE,Dubai,2025-07-23T16:39:10,0,none
412,AE,Abu Dhabi,2025-11-23T10:22:03,0,silver
413,SA,Khobar,2024-06-08T23:33:35,0,silver
414,KW,Kuwait City,2024-12-26T04:50:15,0,none
415,SA,Makkah,2025-12-22T22:31:23,1,gold
416,SA,Jeddah,2024-12-06T06:28:03,0,gold
417,SA,Madinah,2025-03-15T09:38:57,0,none
418,EG,Alexandria,2024-12-06T23:20:54,0,gold
419,SA,Dammam,2025-12-08T01:05:02,0,gold
420,QA,Doha,2026-02-02T20:23:30,0,none
421,AE,Ajman,2025-06-22T16:23:55,0,gold
422,SA,Makkah,2024-06-13T16:48:43,1,silver
423,SA,Makkah,2025-08-20T15:04:59,0,silver
424,SA,Dammam,2026-01-09T08:00:24,0,none
425,AE,Ajman,2024-11-12T19:13:08,1,gold
426,EG,Giza,2024-11-01T17:17:33,0,none
427,SA,Riyadh,2025-03-06T22:05:19,0,none
428,EG,Giza,2024-05-11T00:37:33,1,gold
429,SA,Khobar,2025-09-07T03:22:19,0,silver
430,EG,Alexandria,2025-06-20T20:50:10,0,none
431,QA,Doha,2025-04-11T12:28:33,1,gold
432,EG,Alexandria,2026-02-17T20:35:02,0,silver
433,AE,Ajman,2025-03-02T20:46:21,0,silver
434,EG,Cairo,2026-01-28T07:06:46,1,silver
435,SA,Makkah,2025-06-01T11:05:09,0,none
436,SA,Khobar,2024-06-24T04:31:16,0,none
437,SA,Jeddah,2025-04-25T06:48:32,0,none
438,SA,Makkah,2024-09-29T09:20:44,0,silver
439,EG,Alexandria,2025-06-26T01:34:30,0,none
440,AE,Dubai,2025-04-03T14:12:11,0,none
441,KW,Kuwait City,2024-03-02T01:21:24,1,silver
442,SA,Riyadh,2025-06-29T22:48:56,0,silver
443,EG,Giza,2025-02-22T20:25:32,0,none
444,SA,Madinah,2024-10-04T20:42:32,0,silver
445,SA,Tabuk,2024-12-06T03:41:00,0,silver
446,AE,Ajman,2024-11-11T08:32:04,1,silver
447,OM,Muscat,2025-04-08T21:17:00,1,silver
448,AE,Sharjah,2024-05-01T16:58:22,0,none
449,SA,Dammam,2025-12-09T09:53:29,1,platinum
450,AE,Ajman,2024-12-02T00:21:17,1,silver
451,SA,Jeddah,2024-05-22T06:07:47,0,none
452,KW,Kuwait City,2024-08-26T13:42:10,0,none
453,AE,Ajman,2024-06-18T22:18:12,0,none
454,SA,Madinah,2024-02-28T16:38:47,0,none
455,SA,Tabuk,2025-08-04T14:07:39,0,none
456,SA,Makkah,2026-01-17T17:46:16,0,none
457,OM,Muscat,2025-12-14T02:29:26,0,none
458,SA,Jeddah,2025-05-01T01:01:56,1,silver
459,EG,Alexandria,2024-02-27T11:25:57,0,gold
460,AE,Abu Dhabi,2025-09-13T22:02:36,0,none
461,AE,Abu Dhabi,2024-06-20T04:57:04,0,none
462,SA,Dammam,2024-03-23T23:08:05,0,gold
463,BH,Manama,2025-03-09T08:26:57,0,none
464,SA,Makkah,2024-07-06T07:27:20,0,gold
465,AE,Sharjah,2024-05-06T00:23:38,0,none
466,AE,Dubai,2024-10-08T05:15:53,0,none
467,AE,Sharjah,2024-05-10T07:39:49,0,none
468,BH,Manama,2025-10-16T09:17:08,0,silver
469,SA,Dammam,2024-12-02T19:59:09,0,none
470,SA,Madinah,2024-01-27T03:54:08,0,none
471,SA,Riyadh,2025-08-16T09:37:02,0,gold
472,SA,Tabuk,2024-06-13T01:43:40,0,none
473,SA,Tabuk,2024-10-22T03:11:40,0,none
474,SA,Tabuk,2025-07-28T12:25:48,0,none
475,SA,Madinah,2024-05-26T06:01:31,0,none
476,SA,Riyadh,2025-05-23T00:59:18,0,none
477,SA,Dammam,2024-03-24T10:03:52,0,none
478,AE,Abu Dhabi,2024-08-22T09:16:35,1,silver
479,AE,Dubai,2025-02-26T00:41:23,0,silver
480,SA,Riyadh,2024-10-15T06:56:00,0,none
481,SA,Khobar,2025-03-25T10:37:29,0,none
482,SA,Makkah,2024-01-28T21:38:59,0,none
483,AE,Abu Dhabi,2026-02-21T00:40:33,0,none
484,SA,Tabuk,2025-01-26T05:42:29,0,none
485,SA,Dammam,2024-06-14T18:06:21,0,silver
486,SA,Makkah,2025-04-22T22:00:27,1,silver
487,SA,Tabuk,2025-01-16T17:39:28,0,silver
488,SA,Dammam,2025-11-21T21:32:56,0,silver
489,AE,Sharjah,2024-08-24T12:13:35,0,gold
490,AE,Ajman,2024-03-08T21:24:42,0,none
491,AE,Dubai,2025-01-23T06:31:00,0,none
492,AE,Ajman,2024-12-16T11:22:56,0,silver
493,AE,Abu Dhabi,2026-01-14T13:09:45,0,none
494,SA,Tabuk,2024-02-19T16:22:18,0,none
495,EG,Alexandria,2024-04-06T21:20:30,0,silver
496,SA,Khobar,2026-01-01T12:36:12,0,none
497,SA,Jeddah,2024-03-07T17:47:15,0,none
498,AE,Dubai,2025-05-10T01:27:27,0,none
499,SA,Madinah,2024-03-15T21:28:35,0,none
